Date of Complaint,Centralised ID,Unique ID,Customer Raised Issue,Complaint Raised By,Complaint Raised Name,Contact Number,Complaint Raised Through,Service Engineer Name,Device Model,Device PSN,VIN Number,Firmware,Configuration,Device IMEI,Device ICCID,Date of Sale of Device,Telco Status,Active Profile,Vehicle Sale Date,S Trigger Date,C Trigger Date,Commercial Expiry Date,First Communication in Darby,Last Communication in Darby,Vehicle Type,Vehicle Running Location,Vehicle Run,Kilometers/Hours,Main Battery Voltage,Vehicle Support Date,Issue Identified,External Modification,Issue Analysis,Resolved or Not,Issue Description,Engineer Recommendation,Engineer Email,Manager Remarks,Manager Email,Manager Approval Datetime,HOD Remarks,HOD Approval Status,HOD Approval Datetime,Device to be Sent,Upload File,Unique ID
2025-03-23 07:05:00,DTIL25030014,S25030016,Samuya,Dealer,Samuya,0939054079,I-Alert,Siva,DL545,2407047122,43234ewfr33432,M153,Operational Mode,234564321456432,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,FDDGS,--,67,24.0,N/A,--,,--,No,fg,Repair,sales@danlawtech.com,fg,upendram@danlawtech.com,2025-03-18 07:06:19,,Approved,2025-03-18 07:06:38,Hyderabad,N/A,S25030016
2025-03-14 07:22:00,DTIL25030015,S25030017,Samuya,Customer,Samuya,0939054079,I-Alert,Siva,DL548,2407047122,MB1PAECD5RAGS5259,M153,Operational Mode,234564321456432,89911643124482219,2025-03-13 00:00:00,Bootstrap,Airtel,2025-03-14 00:00:00,2025-02-27 07:22:00,2025-03-14 07:22:00,2025-03-14 00:00:00,2025-03-15 09:22:00,2025-03-16 07:22:00,E-com,FDDGS,Kilometers,173546,24.0,2025-03-15 07:22:00,Latency,"Alt-Device, Device Modification",SW-Issue,No,VIC Hang,Repair,sales@danlawtech.com,fg,upendram@danlawtech.com,2025-03-18 07:23:55,,Approved,2025-03-18 07:24:52,Hyderabad,/media/uploads/1127-2207222006.docx,S25030017
2025-03-22 08:09:00,,A25030012,Samuya,Customer,Samuya,0939054079,I-Alert,Anil,DL548,2407047122,MB1PAECD5RAGS5259,M153,Operational Mode,564324567890876,1.234567890123457e+19,2025-03-12 00:00:00,Bootstrap,Airtel,2025-03-08 00:00:00,2025-03-23 08:09:00,2025-03-08 08:09:00,2025-03-13 00:00:00,2025-03-29 08:09:00,2025-03-14 08:09:00,LCV,342,Kilometers,67,24.0,2025-03-14 08:09:00,Partial V Packet,Alternate Cabin,VIC Issue,No,Not powering on,Repair,sales@danlawtech.com,fg,upendram@danlawtech.com,N/A,,Pending,N/A,Chennai,/media/uploads/1127-2207222006.docx,A25030012
N/A,,-25030031,Samuya,--,Samuya,0939054079,--,--,--,2407047122,MB1PAECD5RAGS5259,M153,--,564324567890876,1.234567890123457e+19,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,No,efsd,Repair,sales@danlawtech.com,fg,upendram@danlawtech.com,N/A,,Pending,N/A,--,N/A,-25030031
N/A,,-25030032,Samuya,--,Samuya,0939054079,--,--,--,2407047122,MB1PAECD5RAGS5259,M153,--,564324567890876,1.234567890123457e+19,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,No,ds,Replace,sales@danlawtech.com,fg,upendram@danlawtech.com,N/A,,Pending,N/A,Hyderabad,N/A,-25030032
2025-03-20 09:46:00,None,S25030018,Samuya,AL Field,Samuya,0939054079,I-Alert,Siva,DL545,2407047122,43234ewfr33432,M153,Plant Mode,564324567890876,1.234567890123457e+19,2025-03-13 00:00:00,Commercial,BSNL,2025-03-15 00:00:00,2025-03-22 09:47:00,2025-03-07 09:48:00,2025-03-07 00:00:00,2025-03-22 09:47:00,2025-03-07 09:47:00,EV-LCV,342,Kilometers,67,24.0,2025-03-16 09:48:00,Not Powering ON,,Disk Image,No,ok,Replace,sales@danlawtech.com,,upendram@danlawtech.com,N/A,,Pending,N/A,Chennai,/media/uploads/FIR_ENTRIES_18_03_2025_13_10.csv,S25030018
2025-03-22 10:32:00,,S25030019,Samuya,Customer,Samuya,0939054079,--,Swamy,--,2407047122,MB1PAECD5RAGS5259,M153,--,564324567890876,1.234567890123457e+19,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,No,fd,Replace,sales@danlawtech.com,,upendram@danlawtech.com,N/A,,Pending,N/A,Goa,/media/uploads/FIR_ENTRIES_18_03_2025_13_10_OistIHL.csv,S25030019
N/A,,-25030033,,--,,,--,--,--,,,,--,,,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,,,N/A,--,Air Horn,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030033
N/A,,-25030034,,--,,,--,--,--,,,,--,,,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,,,N/A,--,Air Horn,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030034
N/A,,-25030035,,--,,,Telephone,--,--,,,,--,,,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,,,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030035
N/A,,-25030036,,--,,,--,--,--,,,,--,,,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,,,N/A,--,Alternate Cabin,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030036
2025-03-22 04:10:00,DTIL25030016,S25030020,Samuya,Dealer,Samuya,0939054079,Telephone,Siva,DL545,2407047122,MB1PAECD5RAGS5259,M153,Operational Mode,564324567890876,1.234567890123457e+19,2025-03-06 00:00:00,Bootstrap,Dual,2025-03-15 00:00:00,N/A,2025-03-21 04:11:00,2025-03-15 00:00:00,2025-03-09 04:11:00,N/A,--,342,Hours,67,24.0,2025-03-21 04:13:00,NRD,Air Horn,Disk Image,No,ok,Repair,sales@danlawtech.com,,upendram@danlawtech.com,2025-03-19 04:14:07,,Approved,2025-03-19 04:14:23,Hyderabad,/media/uploads/FIR_ENTRIES_18_03_2025_05_40.csv,S25030020
